,format,,longitude,lattitude
COL001,image/jpg,Test001.jpeg,10.016121864318848,45.13922882080078
COL002,image/jpg,Test002.jpeg,10.020037651062012,45.13542938232422
COL003,image/jpg,Test003.jpeg,10.019222259521484,45.135066986083984
COL004,image/jpg,Test004.jpeg,10.017532348632812,45.13302993774414
COL005,image/jpg,Test005.jpeg,10.01896858215332,45.132484436035156
COL006,image/jpg,Test006.jpeg,10.02318000793457,45.131290435791016
COL007,image/jpg,Test007.jpeg,10.025293350219727,45.133445739746094
COL008,image/jpg,Test008.jpeg,10.016552925109863,45.140995025634766
COL009,image/jpg,Test009.jpeg,10.01639461517334,45.13958740234375
